数据科目代码,冲突字段,现在版本值,被合并值,处理策略
L3100,数据科目名称,开心小账户存款付息率_年化,活期储蓄存款付息率_年化,保留现在版本
L3100,是否需重计算,1,0,保留现在版本
L3120,数据科目名称,其他小小产品存款付息率_年化,定期储蓄存款付息率_年化,保留现在版本
L3120,是否需重计算,1,0,保留现在版本
L3150,数据科目名称,企小乐存款付息率_年化,同业存放活期负债_付息率_年化,保留现在版本
L3150,是否需重计算,1,0,保留现在版本
L3161,数据科目名称,开心小账户存款内部FTP利率_年化,单位活期存款付息率_年化,保留现在版本
L3161,产品科目代码,Z0005,Z0202,"并集合并为: Z0005,Z0202"
L3161,是否需重计算,1,0,保留现在版本
L3163,数据科目名称,其他小小产品存款内部FTP利率_年化,单位定期存款付息率_年化,保留现在版本
L3163,产品科目代码,Z2001,"Z020101,Z020102,Z02010301,Z02010302,Z02010303","并集合并为: Z2001,Z020101,Z020102,Z02010301,Z02010302,Z02010303"
L3163,是否需重计算,1,0,保留现在版本
L3164,数据科目名称,小企业保证金存款内部FTP利率_年化,其他付息负债付息率_年化,保留现在版本
L3164,产品科目代码,Z0017,"Z0103,Z0201","并集合并为: Z0017,Z0103,Z0201"
L3164,是否需重计算,1,0,保留现在版本
M1200,产品科目名称,(公司级),(全部产品),保留现在版本
