SHEET::开鑫贷
108::清仓回购收入 | 清仓回购 | 0.73 | 0.70 | 0.70 |  |  |  | 0.07 | 0.07 | 0.07 | 0.05 | 0.05 | 0.05 | 0.05 | 0.05 | 0.05 | 0.05 | 0.05 | 0.05 |  |  |  | 
146::其他净利息收入 | 开鑫贷联合贷备付金 | 1.21 | 1.10 | 1.10 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
175::平台费收入 | 联合贷款服务费收入 | 89.45 | 89.48 | 89.48 |  |  |  | 7.4 | 7.1 | 6.6 | 7.2 | 7.4 | 7.3 | 7.6 | 7.7 | 7.5 | 7.8 | 7.7 | 8.3 |  | - |  | 
177::平均财务利率-表外 | 业务口径平均财务利率（税前利息收入/逾期不超90天日均余额） | 12.94% | 12.90% | 12.94% |  |  |  | 12.32% | 12.73% | 12.54% | 12.67% | 12.76% | 12.84% | 12.93% | 13.02% | 13.11% | 13.19% | 13.28% | 13.37% | 0.00% |  |  | 
178::平台费率 | 平台费率 | 29.89% | 29.89% | 29.89% |  |  |  | 29.89% | 29.89% | 29.89% | 29.89% | 29.89% | 29.89% | 29.89% | 29.89% | 29.89% | 29.89% | 29.89% | 29.89% |  |  |  | 
179::年平均逾期90+&实收应收折扣率 | 年平均逾期90+&实收应收折扣率 | 98.44% | 98.44% | 98.44% |  |  |  | 98.44% | 98.44% | 98.44% | 98.44% | 98.44% | 98.44% | 98.44% | 98.44% | 98.44% | 98.44% | 98.44% | 98.44% |  |  |  | 
181::机构分摊催收费用 | 催收费_联合贷款 | 14.44 | 14.44 | 14.44 |  |  |  | 1.02 | 1.09 | 1.04 | 1.21 | 1.25 | 1.21 | 1.26 | 1.27 | 1.23 | 1.27 | 1.25 | 1.34 | #REF! |  |  | 
183::委外费用占比 | 委外费用占比 | 84.80% | #REF! |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | #REF! |  |  | 
184::机构日均占比 | 机构日均占比 | 59.00% | 57.42% | 58.99% |  |  |  | 60.72% | 59.46% | 59.11% | 58.58% | 57.73% | 57.19% | 56.80% | 56.50% | 55.99% | 55.40% | 55.29% | 56.76% | #REF! |  |  | 
185::综合折扣率 | 综合折扣率 | 120% |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
187::ABS手续费收入（含清仓回购） | 资产流转 |  | 0.04 | 0.04 |  |  |  |  |  |  | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |  |  |  | 
188::ABS费率 | 费率（占资产流转日均比例） |  | #DIV/0! |  |  |  |  | #DIV/0! | #DIV/0! | #DIV/0! |  |  |  |  |  |  |  |  |  |  |  |  | 
189::拒量导流服务费收入 | 拒量引流 | 4.60 | 4.60 | 4.60 |  |  |  | 0.34 | 0.22 | 0.26 | 0.42 | 0.42 | 0.42 | 0.42 | 0.42 | 0.42 | 0.42 | 0.42 | 0.42 |  |  |  | 
190::结算便利/ABS服务费等其他 | 结算便利等其他 | 0.10 | 0.04 | 0.04 |  |  |  | 0.01 | 0.00 | 0.01 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 |  |  |  | 
194::00渠道费合计 | 手续费支出 | 71.34 | 71.09 | 70.67 | 0.42 |  |  | 4.6 | 3.6 | 3.7 | 4.94 | 5.13 | 5.02 | 9.23 | 9.29 | 9.18 | 5.41 | 5.32 | 5.66 |  | - |  | 
195::税前00渠道费_合作行 | 00渠道费-联合 | 26.75 | 26.49 | 26.49 |  |  |  | 2.11 | 1.67 | 1.74 | 2.20 | 2.27 | 2.23 | 2.32 | 2.35 | 2.30 | 2.39 | 2.36 | 2.55 |  | - |  | 
197::逾期90+规模占比-合作行 | 逾期90+规模占比-合作行 | 1.85% | 1.85% | 1.85% |  |  |  | 1.85% | 1.85% | 1.85% | 1.85% | 1.85% | 1.85% | 1.85% | 1.85% | 1.85% | 1.85% | 1.85% | 1.85% |  |  |  | 
198::免收渠道费占比 | 免收渠道费占比 | 1.00% | 1.00% | 1.00% |  |  |  | 1.00% | 1.00% | 1.00% | 1.00% | 1.00% | 1.00% | 1.00% | 1.00% | 1.00% | 1.00% | 1.00% | 1.00% |  |  |  | 
199::税前00渠道费_ABS | 00渠道费-（ABS） | - | 0.01 | 0.01 |  |  |  | - | - | - | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  | - |  | 
201::导流渠道费 | 00渠道费-引流 | 1.33 | 1.33 | 1.33 |  |  |  | 0.10 | 0.07 | 0.08 | 0.12 | 0.12 | 0.12 | 0.12 | 0.12 | 0.12 | 0.12 | 0.12 | 0.12 | 93% |  |  | 
205::催收 | 催收费 | 20.17 | 20.2 | 19.90 | 0.27 | 0.00 |  | 1.60 | 1.30 | 1.35 | 1.65 | 1.7 | 1.7 | 1.8 | 1.8 | 1.8 | 1.8 | 1.8 | 1.9 |  | - |  | 
207::征信 | 征信费 | 5.44 | 5.44 | 5.30 | 0.14 | 0.00 |  | 0.35 | 0.20 | 0.11 | 0.50 | 0.52 | 0.51 | 0.53 | 0.54 | 0.53 | 0.55 | 0.54 | 0.57 |  | - |  | 
209::清结算 | 清算费 | 5.4 | 5.4 | 5.42 |  | -0.00 |  | 0.41 | 0.38 | 0.35 | 0.44 | 0.46 | 0.46 | 0.48 | 0.48 | 0.47 | 0.49 | 0.48 | 0.51 |  | - |  | 
216::技术服务费支出 | 其他 | - | 0.00 |  |  |  |  | - | 0.00 | 0.00 |  |  |  |  |  |  |  |  |  |  | - |  | 
217::保费支出 | 保险代偿 | 12.2 | 12.2 | 12.23 |  |  |  | 0.02 | 0.02 | 0.02 | 0.02 | 0.02 | 0.02 | 4.01 | 4.01 | 4.01 | 0.02 | 0.02 | 0.02 |  | - |  | 
225::风险成本 | 风险成本（代偿后） | 52.1 | 52.09 | 50.99 | 1.10 |  |  | 4.8 | 2.1 | 4.6 | 4.51 | 4.51 | 4.51 | 4.51 | 4.51 | 4.51 | 4.51 | 4.51 | 4.51 |  | - |  | 
227::自营年末不良率（60天，保险后） | 自持（代偿后） |  | 1.12% |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
228::自营年末不良率（60天，保险前） | 自持（代偿前） |  | 1.80% |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
233::保险代偿净额 | 保险代偿净赔付 | -10.20 | -12.68 | -12.68 |  |  |  | 0.26 | 1.92 | -0.13 | - | - | - | - | - | - | -4.91 | -4.91 | -4.91 | - |  |  | 
234::保险代偿发生额 | 保险代偿发生额 | -10.20 | -12.68 | -12.68 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
236::自营新增不良率 | 实际损失率（代偿前） | 2.38% | 3.68% | 3.86% | 1.00% |  |  | 3.28% | 0.14% | 3.41% | 3.35% | 3.14% | 3.16% | 3.00% | 2.94% | 2.97% | 5.84% | 5.94% | 5.84% |  |  |  | 
237::本年新增不良余额 | 实际风险成本（代偿前） | 41.88 | 64.77 | 63.67 |  |  |  | 4.51 | 0.18 | 4.76 | 4.51 | 4.51 | 4.51 | 4.51 | 4.51 | 4.51 | 9.42 | 9.42 | 9.42 | - |  |  | 
